Martin Abadi,  UC Santa Cruz & Microsoft; Univ. of California at Santa Cruz; UC Santa Cruz & Microsoft Research, CCS 2009, CCS 2008, CCS 2007
Carlisle Adams,  University of Ottawa, CCS 2006
Srdjan Capkun, ETH Zurich; ETH Zurich; ETHZ, CCS 2016, CCS 2015, CCS 2013, CCS 2012, CCS 2011
Alvaro Cardenas,  University of Texas at Dallas, CCS 2013
Barbara Carminati,  University of Insubria, CCS 2014
David Cash, Rutgers University, CCS 2016
Claude Castelluccia,  INRIA, CCS 2012
Lorenzo Cavallaro, Royal Holloway, CCS 2016, CCS 2015
Iliano Cervesato,  Carnegie Mellon Univ.; Carnegie Mellon University, CCS 2009, CCS 2008
Ajay Chander,  NTT DoCoMo Labs, CCS 2008
Avik Chaudhuri,  Adobe Advanced Technology Labs, CCS 2011
Stephen Checkoway, Johns Hopkins University; Johns Hopkins University, CCS 2015, CCS 2014
Liqun Chen,  HP Labs; Hewlett-Packard Laboratories, CCS 2014, CCS 2013
Shuo Chen,  Microsoft Research, CCS 2012, CCS 2011
Yan Chen, Northwestern University; Northwestern University, CCS 2016, CCS 2015, CCS 2014
Alessandro Chiesa, UC Berkeley, CCS 2016
Yung Ryn (Elisha) Choe, Sandia National Laboratories, CCS 2016
Stephen Chong,  Harvard University, CCS 2013, CCS 2010
Sherman S.M. Chow,  The Chinese University of Hong Kong, CCS 2014
Omar Chowdhury, Purdue University, CCS 2016, CCS 2015
Nicolas Christin,  Carnegie Mellon University, CCS 2013
Mihai Christodorescu,  IBM Research, CCS 2012, CCS 2010, CCS 2009, CCS 2008
Richard Clayton,  University of Cambridge, CCS 2012, CCS 2008
Debra Cook,  IDA-CCS, CCS 2009
Véronique Cortier, CNRS; CNRS; LORIA INRIA-Lorraine; LORIA-CNRS, CCS 2016, CCS 2014, CCS 2013, CCS 2012, CCS 2010
Manuel Costa,  Microsoft Research, CCS 2011
Marco Cova,  University of Birmingham and Lastline, CCS 2014
Jed Crandall,  U of New Mexico, CCS 2010
Lorrie Cranor,  Carnegie Mellon Univ.; Carnegie Mellon University, CCS 2009, CCS 2008, CCS 2007
Marco Cremonini,  Univ. of Milan; University of Milan, CCS 2008, CCS 2007
Weidong Cui,  Microsoft Research, CCS 2014, CCS 2013, CCS 2010, CCS 2009
Reza Curtmola,  New Jersey Institute of Technology, CCS 2014, CCS 2013
Alexei Czeskis,  Google, CCS 2014
Dana Dachman-Soled, University of Maryland, CCS 2016
Marc Dacier,  Eurecom; Symantec; Eurécom, CCS 2010, CCS 2009, CCS 2004
David Dagon,  Georgia Institute of Technology, CCS 2007
George Danezis, University College London; University College London; Microsoft Research; K.U. Leuven, CCS 2016, CCS 2015, CCS 2014, CCS 2010, CCS 2009, CCS 2008, CCS 2007
Anupam Datta, Carnegie Mellon University; Carnegie Mellon University; CMU, CCS 2016, CCS 2014, CCS 2013, CCS 2011, CCS 2008
Drew Dean,  SRI International Computer Science Lab, CCS 2004
Hervé Debar,  France Telecom R&D, CCS 2004
Pierpaolo Degano,  University of Pisa, CCS 2005
Stephanie Delaune,  CNRS and ENS-Cachan, CCS 2011
Robert Deng,  Singapore Management Univ.; Singapore Management University, CCS 2008, CCS 2007
Rinku Dewri, University of Denver, CCS 2016
Claudia Diaz,  KU Leuven; Katholieke Universiteit Leuven; K.U. Leuven, CCS 2009, CCS 2008, CCS 2007
Sven Dietrich,  Stevens Inst. of Tech.; Stevens Institute of Technology; Carnegie Mellon University, CCS 2009, CCS 2008, CCS 2007
Roger Dingledine,  The Tor Project; Tor Project; The Free Haven Project, CCS 2011, CCS 2010, CCS 2007
George Dinolt,  Naval Postgraduate School, CCS 2005
Yevginiy Dodis,  New York University, CCS 2005
Leendert Van Doorn,  AMD, CCS 2011
Adam Doupé, Arizona State University, CCS 2016, CCS 2015
Wenliang Du,  Syracuse University, CCS 2014, CCS 2013, CCS 2009, CCS 2008, CCS 2007
Tudor Dumitras, University of Maryland, CCS 2016
Orr Dunkelman,  University of Haifa; University of Haifa and Weizmann Institute, CCS 2014, CCS 2011
Stefan Dziembowski, University of Warsaw, CCS 2016
Matt Edman,  Rensselaer Polytech. Inst.; Rensselaer Polytechnic Institute, CCS 2009, CCS 2008
Manuel Egele, Boston University; Carnegie Mellon University, CCS 2016, CCS 2015, CCS 2014
William Enck, North Carolina State University; North Carolina State University, CCS 2016, CCS 2015, CCS 2014
Dawson Engler,  Stanford University, CCS 2008
Ulfar Erlingsson,  Google; Microsoft Research, CCS 2011, CCS 2010
Alberto Escudero-Pascual,  IT46, CCS 2007
David Evans,  University of Virginia, CCS 2013
Nick Feamster,  Georgia Tech; Georgia Institute of Technology, CCS 2011, CCS 2008
Hannes Federrath,  Universität Regensburg, CCS 2004
Joan Feigenbaum,  Yale University, CCS 2005
José Fernandez, Ecole Polytechnique de Montreal; Polytechnique Montréal , CCS 2015, CCS 2014
Elena Ferrari,  University of Insubria, CCS 2014
Dario Fiore, IMDEA Software Institute, CCS 2016, CCS 2015
Simone Fischer-Huebner,  Karlstads U; Karlstad University, CCS 2009, CCS 2008, CCS 2007
Matthias Fitzi,  University of California Davis, CCS 2004
Riccardo Focardi,  U. of Venice, CCS 2012
Simon Foley,  University College Cork, CCS 2004
Philip W. L. Fong,  University of Calgary, CCS 2014
Bryan Ford,  Yale University, CCS 2012, CCS 2011
Stephanie Forrest,  University of New Mexico, CCS 2005
Jeff Foster,  University of Maryland, CCS 2008
Pierre-Alain Fouque, University Rennes 1, CCS 2015
Cédric Fournet,  Microsoft Research; Microsoft Research-INRIA, CCS 2014, CCS 2011, CCS 2010, CCS 2009, CCS 2008
Paul Francis,  MPI-SWS, CCS 2011
Yair Frankel,  TechTegrity, CCS 2004
Michael Franz, University of California, CCS 2016, CCS 2015
Matt Fredrikson, Carnegie Mellon, CCS 2016
Michael Freedman,  Princeton University, CCS 2011, CCS 2008
Vanessa Friaz-Martinez,  Telefonica Research, CCS 2010
Kevin Fu,  University of Massachusetts Amherst, CCS 2007
Xinwen Fu, University of Massachusetts Lowell, CCS 2016
Vinod Ganapathy, Rutgers University; Rutgers University; Rutgers, CCS 2016, CCS 2015, CCS 2014, CCS 2010, CCS 2008
Juan Garay, Yahoo Labs; Bell Labs - Lucent Technologies, CCS 2016, CCS 2004
Deepak Garg, Max Planck Institute for Software Systems;MPI-SWS; MPI-SWS, CCS 2016, CCS 2015, CCS 2014
Rosario Gennaro,  IBM T. J. Watson, CCS 2006
Jon Giffin,  Georgia Tech, CCS 2009
Cristiano Giuffrida, VU University Amsterdam, CCS 2016, CCS 2015
Virgil Gligor,  Carnegie Mellon Univ.; University of Maryland at College Park, CCS 2010, CCS 2009, CCS 2007
Eu-Jin Goh,  Stanford University, CCS 2009, CCS 2008
Ian Goldberg, University of Waterloo, CCS 2016
Philippe Golle,  PARC; Palo Alto Research Center, CCS 2010, CCS 2008, CCS 2007
Phillippe Golle,  Google, CCS 2012
Dieter Gollmann,  TU Hamburg-Harburg, CCS 2007, CCS 2005
Michael Goodrich,  University of California; UC Irvine, CCS 2014, CCS 2006
Andy Gordon,  Microsoft Research, CCS 2012
Roberto Gorrieri,  University of Bologna, CCS 2005
Vipul Goyal, Microsoft Research India, CCS 2015
Matthew Green,  Johns Hopkins University, CCS 2014
Rachel Greenstadt,  Drexel University; Harvard University, CCS 2009, CCS 2008, CCS 2007
Steven Gribble,  U of Washington; University of Washington, CCS 2010, CCS 2008
Stefanos Gritzalis,  University of the Aegean, CCS 2006
Guofei Gu,  Texas A&M Univ.; Texas A&M University, CCS 2012, CCS 2011
Zhongshu Gu, IBM T.J. Watson Research Center, CCS 2016
Minaxi Gupta,  Indiana University, CCS 2009
Joshua Guttman,  MITRE, CCS 2005
Peter Guttmann,  University of Auckland; U of Auckland, CCS 2013, CCS 2009
J. Alex Halderman, University of Michigan; University of Michigan; U of Michigan; Princeton University, CCS 2015, CCS 2014, CCS 2013, CCS 2010, CCS 2009, CCS 2008
William Harris, Georgia Institute of Technology, CCS 2015
Cormac Herley,  Microsoft Research, CCS 2013
Els Van Herreweghen,  IBM Research, CCS 2004
Amir Herzberg, Bar Ilan University;Bar-Ilan University; Bar-Ilan University and TU Darmstadt, CCS 2016, CCS 2015, CCS 2014
Michael Hicks,  University of Maryland, CCS 2008
Viet Tung Hoang, University of California, CCS 2016
Susan Hohenberger,  Johns Hopkins University; Johns Hopkins, CCS 2014, CCS 2010
Thorsten Holz, Ruhr-University Bochum;Ruhr-Universitaet Bochum; Ruhr-Universität Bochum; Ruhr-University Bochum, CCS 2016, CCS 2015, CCS 2013, CCS 2012
Nicholas Hopper,  University of Minnesota; U of Minnesota, CCS 2013, CCS 2012, CCS 2011
Amir Houmansadr, University of Massachusetts Amherst;University of Massachussettes, CCS 2016, CCS 2015
Yih-Chun Hu,  University of Illinois, CCS 2013
Yan Huang, Indiana University, CCS 2016, CCS 2015
Jean-Pierre Hubaux,  EPFL, CCS 2012, CCS 2011
Sotiris Ioannidis,  FORTH-ICS; Foundation for Research and Technology; ICS/FORTH, CCS 2013, CCS 2012, CCS 2009
Cynthia Irvine,  Naval Postgraduate School, CCS 2005
Collin Jackson,  CMU Silicon Valley, CCS 2011
Trent Jaeger, Pennsylvania State University; Pennsylvania State University; Penn State University; The Pennsylvania State University, CCS 2015, CCS 2014, CCS 2013, CCS 2010, CCS 2009, CCS 2008, CCS 2006
Tibor Jager, Ruhr-University Bochum, CCS 2016
Farnam Jahanian,  U.Michigan; University of Michigan, CCS 2009, CCS 2008
Abhishek Jain, Johns Hopkins University;MIT and BU; Massachusetts Institute of Technology and Boston University, CCS 2016, CCS 2015, CCS 2014
Sushil Jajodia,  George Mason University, CCS 2013, CCS 2012
Markus Jakobsson,  PayPal; Paypal; Indiana University, CCS 2012, CCS 2011, CCS 2007, CCS 2006
Stas Jarecki,  UC Irvine, CCS 2010
Sanjay Jha,  University of New South Wales, CCS 2014
Somesh Jha,  University of Wisconsin, CCS 2014, CCS 2007, CCS 2006, CCS 2005
Limin Jia, Carnegie Mellon University, CCS 2016, CCS 2015
Trevor Jim,  AT&T Research, CCS 2006
Hongxia Jin, Samsung Research America;Samsung USA; Samsung USA, CCS 2016, CCS 2015, CCS 2014
Aaron Johnson,  Yale University, CCS 2008
Rob Johnson,  Stony Brook University; Stonybrook University, CCS 2014, CCS 2013, CCS 2009, CCS 2008
Ari Juels,  RSA Laboratories, CCS 2013, CCS 2010, CCS 2008, CCS 2007
Jaeyeon Jung,  Intel Labs Seattle, CCS 2011
Brent Kang, KAIST, CCS 2015
Brent Byunghoon Kang, KAIST, CCS 2016
Chris Kanich, University of Illinois at Chicago, CCS 2016, CCS 2015
Apu Kapadia,  Indiana University; Indiana Univ.; Indiana U; MIT Lincoln Labs, CCS 2013, CCS 2011, CCS 2010, CCS 2009
Jonathan Katz,  University of Maryland; U. of Maryland, CCS 2013, CCS 2012, CCS 2011, CCS 2006, CCS 2005
Stefan Katzenbeisser, TU Darmstadt; TU Darmstadt, CCS 2016, CCS 2015, CCS 2013, CCS 2012, CCS 2011
Angelos Keromytis,  Columbia University, CCS 2014, CCS 2013, CCS 2012, CCS 2008, CCS 2007, CCS 2005
Florian Kerschbaum, SAP; SAP; SAP Research, CCS 2016, CCS 2015, CCS 2014, CCS 2013
Dmitry Khovratovich, University of Luxembourg, CCS 2016
Aggelos Kiayias,  National and Kapodistrian University of Athens, CCS 2014
Taesoo Kim, Georgia Tech;Georgia Institute of Technology, CCS 2016, CCS 2015
Yongdae Kim, KAIST; KAIST, CCS 2015, CCS 2014, CCS 2013
Engin Kirda, Northeastern University; Northeastern University; Eurecom, CCS 2016, CCS 2015, CCS 2013, CCS 2012, CCS 2010
Markulf Kohlweiss, Microsoft Research, CCS 2016
Yoshi Kohno,  University of Washington, CCS 2010, CCS 2009, CCS 2008
Vladimir Kolesnikov, Bell Labs, CCS 2016
Farinaz Koushanfar,  Rice University, CCS 2013
Hugo Krawczyk,  Technion, CCS 2004
Arvind Krishnamurthy,  U. of Washington, CCS 2012, CCS 2011
Shriram Krishnamurti,  Brown University, CCS 2009
Christopher Kruegel, University of California; UCSB; Technical Univ. Vienna; Technical University Vienna, CCS 2015, CCS 2011, CCS 2008, CCS 2007
Ralf Kuesters, University of Trier; University of Trier; U. of Trier; U of Trier, CCS 2016, CCS 2015, CCS 2012, CCS 2011, CCS 2010
Markus Kuhn,  University of Cambridge, CCS 2004
Ranjit Kumaresan, MIT, CCS 2016
Helmut Kurth,  Atsec Information Security, CCS 2004
Ralf Küsters,  University of Trier, CCS 2014
Brian LaMacchia,  Microsoft, CCS 2004
Xuejia Lai,  Shanghai Jiaotong University, CCS 2007
Carl Landwehr,  University of Maryland, CCS 2005
Andrea Lanzi, University of Milan, CCS 2016, CCS 2015
Peeter Laud, Cybernetica AS; Cybernetica; Universiy of Tartu; Tartu University, CCS 2016, CCS 2015, CCS 2012, CCS 2005, CCS 2004
Ben Laurie,  Google UK, CCS 2009
Dong Hoon Lee,  Korea University, CCS 2014
Ruby Lee,  Princeton University, CCS 2014
Wenke Lee, Georgia Institute of Technology; Georgia Institute of Technology, CCS 2016, CCS 2015, CCS 2013, CCS 2012, CCS 2009, CCS 2008, CCS 2007
Anja Lehmann, IBM Research – Zurich, CCS 2016
Brian Levine,  UMass Amherst; U of Massachusetts Amherst; University of Massachusetts Amherst; U Mass Amherst, CCS 2013, CCS 2009, CCS 2008, CCS 2006
Allison Bishop Lewko,  Columbia University, CCS 2014
Ninghui Li, Purdue University; Purdue University, CCS 2015, CCS 2012, CCS 2011, CCS 2009, CCS 2008, CCS 2006, CCS 2005, CCS 2004
Yingjiu Li,  Singapore Management University, CCS 2013
Zhichun Li,  NEC Research Labs, CCS 2014
Zhou Li, RSA Labs, CCS 2016
Zhenkai Liang, National University of Singapore; National University of Singapore, CCS 2016, CCS 2015, CCS 2014
Benoît Libert, ENS de Lyon;ENS Lyon; ENS Lyon, CCS 2016, CCS 2015, CCS 2014
Zhiqiang Lin, University of Texas at Dallas; University of Texas at Dallas, CCS 2016, CCS 2015, CCS 2014
Helger Lipmaa,  Helsinki University of Technology, CCS 2004
Peng Liu,  The Pennsylvania State University; Penn State University, CCS 2008, CCS 2007, CCS 2006
Yao Liu, University of South Florida;U. South Florida, CCS 2016, CCS 2015
Benjamin Livshits, Microsoft Research; Microsoft Research, CCS 2016, CCS 2015, CCS 2012, CCS 2011
Michael Locasto,  George Mason, CCS 2010
Javier Lopez,  University of Malaga, CCS 2006, CCS 2005
Gavin Lowe,  Oxford University, CCS 2004
Long Lu, Stony Brook University; Stony Brook University, CCS 2016, CCS 2015, CCS 2014
Alexander De Luca, Google, CCS 2016, CCS 2015
John C.S. Lui,  The Chinese University of Hong Kong, CCS 2014
Teresa Lunt,  Palo Alto Research Center, CCS 2004
Anna Lysyanskaya,  Brown University, CCS 2014
Phil MacKenzie,  Bell Labs - Lucent Technologies, CCS 2004
Ashwin Machanavajjhala, Duke University, CCS 2015
Matteo Maffei, Saarland University, CCS 2016, CCS 2015
Tal Malkin, Columbia University; Columbia University, CCS 2016, CCS 2010
Mohammad Mannan, Concordia University, CCS 2016
Heiko Mantel,  TU Darmstadt; Technical Univ. Darmstadt; RWTH Aachen, CCS 2012, CCS 2011, CCS 2008, CCS 2007
Z. Morley Mao,  University of Michigan, CCS 2014, CCS 2013, CCS 2008
Hiroshi Maruyama,  IBM Japan; IBM Research, CCS 2005, CCS 2004
Nick Mathewson,  The Tor Project; The Free Haven Project, CCS 2008, CCS 2007
Doug Maughan,  Department of Homeland Security, CCS 2007
Ueli Maurer,  ETH Zurich, CCS 2004
Jonathan McCune,  Google, CCS 2013
Patrick McDaniel,  Pennsylvania State University; Penn State University; The Pennsylvania State University, CCS 2012, CCS 2010, CCS 2009, CCS 2008, CCS 2006
John McHugh,  Dalhousie University, CCS 2007
Catherine Meadows,  Naval Research Laboratory	; Naval Research Laboratory, CCS 2013, CCS 2009, CCS 2008, CCS 2007, CCS 2006, CCS 2004
Sarah Meiklejohn, University College London, CCS 2016, CCS 2015
Nasir Memon,  Polytechnic University, CCS 2006
John Mitchell,  Stanford; Stanford University, CCS 2011, CCS 2007, CCS 2006, CCS 2004
John C. Mitchell,  Stanford University, CCS 2008
Prateek Mittal, Princeton University; Princeton University, CCS 2016, CCS 2015, CCS 2014
George Mohay,  Queensland University of Technology, CCS 2005
Ian Molloy, IBM Research, CCS 2016, CCS 2015
David Molnar,  Microsoft Research; U of California; Univ. of California; UC Berkeley, CCS 2010, CCS 2009, CCS 2008, CCS 2007
Refik Molva,  EURECOM; Institut Eurecome, CCS 2014, CCS 2013, CCS 2006
Fabian Monrose,  University of North Carolina at Chapel Hill; UNC at Chapel Hill; Univ. of North Carolina, CCS 2013, CCS 2011, CCS 2010, CCS 2009
Tyler Moore,  Wellesley College and SMU, CCS 2012
Yi Mu,  University of Wollongong, CCS 2007
James Muir,  Cloakware Corporation; Saint Mary’s University, CCS 2009, CCS 2008
Steven Murdoch, University College London; Univ. of Cambridge; University of Cambridge, CCS 2016, CCS 2011, CCS 2010, CCS 2008, CCS 2007
Andrew Myers,  Cornell University, CCS 2014, CCS 2013, CCS 2012, CCS 2004
Steven Myers,  Indiana Univ.; Indiana University, CCS 2010, CCS 2008
Ludovic Mé,  Supélec, CCS 2007, CCS 2004
David Naccache,  Ecole Normale Suprieure; Ecole Normale Superieure, CCS 2013, CCS 2011
Prasad Naldurg,  Microsoft Research, CCS 2008
Chanathip Namprempre,  Thammasat University, CCS 2004
Arvind Narayanan, Princeton University; Stanford, CCS 2016, CCS 2015, CCS 2011
David Naumann,  Stevens Tech, CCS 2010
Peter G. Neumann,  SRI International Computer Science Lab, CCS 2004
Pekka Nikander,  Ericsson Research, CCS 2004
Nick Nikiforakis, Stony Brook University, CCS 2016, CCS 2015
Peng Ning,  North Carolina State Univ.; North Carolina State University, CCS 2009, CCS 2008
Cristina Nita-Rotaru,  Purdue University, CCS 2013, CCS 2009, CCS 2008
Mats Näslund,  Ericcson Research, CCS 2005
Eiji Okamoto,  University of Tsukuba, CCS 2006, CCS 2005
Tatsuaki Okamoto,  NTT Research, CCS 2004
Hamed Okhravi, MIT Lincoln Laboratory, CCS 2016, CCS 2015
Paul Van Oorschot,  Carleton Univ.; Carleton University, CCS 2011, CCS 2009, CCS 2008
Alina Oprea,  RSA Security; RSA Laboratories, CCS 2013, CCS 2012
Claudio Orlandi, Aarhus University, CCS 2016
Hilarie Orman,  Purple Streak, CCS 2005
Xinming Ou, University of South Florida;Kansas State University, CCS 2016, CCS 2015
Panos Papadimitratos,  KTH Stockholm, CCS 2013
Charalampos Papamanthou, University of Maryland; University of Maryland, CCS 2016, CCS 2015, CCS 2014
Stefano Paraboschi,  University of Bergamo, CCS 2009, CCS 2008, CCS 2007
Bryan Parno, Microsoft Research; Microsoft Research, CCS 2016, CCS 2013, CCS 2012
Kenny Paterson,  Royal Holloway, CCS 2012, CCS 2011
Vern Paxson, University of California; ICSI / LBNL, CCS 2015, CCS 2004
Mathias Payer, Purdue University, CCS 2016, CCS 2015
Roberto Perdisci, University of Georgia, CCS 2016, CCS 2015
Radia Perlman,  Sun Microsystems, CCS 2005
Adrian Perrig, ETH Zurich; Carnegie Mellon University, CCS 2016, CCS 2015, CCS 2012, CCS 2008, CCS 2005, CCS 2004
Andreas Pfitzmann,  Technical Univ. Dresden, CCS 2008
Frank Piessens,  KU Leuven, CCS 2012
Roberto Di Pietro, Bell Labs; Bell Labs; Università di Roma Tre, CCS 2015, CCS 2014, CCS 2013
Benny Pinkas, Bar Ilan University; Bar Ilan University; U of Haifa, CCS 2015, CCS 2014, CCS 2013, CCS 2010
Marco Pistoia, IBM T. J. Watson Research Center, CCS 2016
David Pointcheval,  CNRS-ENS, CCS 2004
Michalis Polychronakis, Stony Brook University; Columbia University, CCS 2016, CCS 2014
Radha Poovendran,  University of Washington, CCS 2005
Raluca Ada Popa, UC Berkeley, CCS 2016
Phillip Porras,  SRI International, CCS 2006
Joachim Posegga,  SAP and University of Hamburg, CCS 2004
Bart Preneel, KU Leuven and iMinds; KU Leuven and iMinds; KU Leuven; Katholieke Universiteit Leuven; K.U. Leuven, CCS 2015, CCS 2014, CCS 2010, CCS 2008, CCS 2007
Emmanuel Prouff, ANSSI, CCS 2016
Niels Provos,  Google, CCS 2012, CCS 2011
Christina Pöpper, New York University Abu Dhabi;Ruhr-University Bochum; Ruhr-University Bochum, CCS 2016, CCS 2015, CCS 2014
Zhiyun Qian, University of California; NEC Research Labs, CCS 2016, CCS 2014
Sriram Rajamani,  Microsoft Research, CCS 2008
Josyula R. Rao,  IBM Research, CCS 2004
Indrakshi Ray,  Colorado State University, CCS 2004
Mariana Raykova,  SRI International, CCS 2014
Christian Rechberger,  DTU, CCS 2012
Mike Reiter,  University of North Carolina at Chapel Hill; UNC at Chapel Hill; Univ. of North Carolina, CCS 2014, CCS 2013, CCS 2012, CCS 2011, CCS 2008
Kui Ren, State University of New York at Buffalo;University at Buffalo; University at Buffalo, CCS 2016, CCS 2015, CCS 2014
Tom Reps,  U of Wisconsin, CCS 2010
Cédric Fournet Microsoft Research,  UK, CCS 2005
Konrad Rieck, Technische Universität Braunschweig;University of Goettingen; University of Göttingen, CCS 2016, CCS 2015, CCS 2014
Thomas Ristenpart,  U. of Wisconsin, CCS 2012, CCS 2011
Deng Robert,  Singapore Management University, CCS 2012
William Robertson, Northeastern University, CCS 2016, CCS 2015
Michael Roe,  University of Hertfordshire, CCS 2013
Volker Roth,  Freie Universitaet Berlin, CCS 2013
Michael Rusinowitch,  INRIA Lorraine, CCS 2004
Alejandro Russo, Chalmers University of Technology, CCS 2016
Peter Ryan,  Newcastle University; University of Newcastle, CCS 2007, CCS 2004
Juha Röning,  University of Oulu, CCS 2004
Andrei Sabelfeld, Chalmers University of Technology; Chalmers University of Technology; Chalmers U of Tech.; Chalmers Univ. of Technology, CCS 2016, CCS 2015, CCS 2014, CCS 2009, CCS 2008
Ahmad-Reza Sadeghi, Technische Universität Darmstadt;TU Darmstadt; Technische Universitaet Darmstadt; TU Darmstadt and Fraunhofer SIT Darmstadt, CCS 2016, CCS 2015, CCS 2014, CCS 2012
Rei Safavi-Naini, University of Calgary; University of Calgary; University of Wollongong, CCS 2015, CCS 2014, CCS 2006, CCS 2005, CCS 2004
Reiner Sailer,  IBM Research; IBM T.J. Watson, CCS 2010, CCS 2006
Kazue Sako,  NEC; NEC Corporation, CCS 2009, CCS 2008, CCS 2007
Pierangela Samarati,  Università degli Studi di Milano; University of Milan; Univ. of Milan, CCS 2014, CCS 2009, CCS 2008, CCS 2007, CCS 2006
Tomas Sander,  Hewlett-Packard, CCS 2004
Ravi Sandhu,  UT San Antonio, CCS 2013
Angela Sasse,  University College London, CCS 2009
Nitesh Saxena, University of Alabama at Birmingham; University of Alabama at Birmingham, CCS 2016, CCS 2015, CCS 2014
Andre Scedrov,  University of Pennsylvania; U Penn, CCS 2008, CCS 2006, CCS 2005, CCS 2004
Steve Schneider,  U of Surrey; University of Surrey; Royal Holloway, CCS 2010, CCS 2008, CCS 2004
Matthias Schunter,  IBM Research, CCS 2004
Jörg Schwenk, Ruhr University Bochum;Ruhr-Universitaet Bochum, CCS 2016, CCS 2015
R. Sekar,  SUNY; Stony Brook University; SUNY Stony Brook, CCS 2010, CCS 2009, CCS 2006
Vyas Sekar,  Stony Brook University, CCS 2013
Simha Sethumadhavan,  Columbia University, CCS 2013
Hovav Shacham, University of California; UCSD; UC San Diego; Weizmann Institute of Science, CCS 2015, CCS 2011, CCS 2009, CCS 2008
Umesh Shankar,  Google, CCS 2009, CCS 2008
Jonathan Shapiro,  Johns Hopkins University, CCS 2004
Abhi Shelat, University of Virginia, CCS 2016, CCS 2015
Elaine Shi, Cornell;University of Maryland, CCS 2016, CCS 2015
